DATE,CPALTT01CAM657N
1995-01-01,0.347624565469297
1995-02-01,0.461893764434191
1995-03-01,0.229885057471262
1995-04-01,0.344036697247696
1995-05-01,0.228571428571441
1995-06-01,0
1995-07-01,0.228050171037641
1995-08-01,-0.227531285551776
1995-09-01,0.114025085518806
1995-10-01,-0.113895216400903
1995-11-01,0.342075256556432
1995-12-01,-0.227272727272725
1996-01-01,0.22779043280182
1996-02-01,0.11363636363637
1996-03-01,0.45402951191827
1996-04-01,0.22598870056497
1996-05-01,0.338218714768888
1996-06-01,0
1996-07-01,0
1996-08-01,0
1996-09-01,0.112359550561804
1996-10-01,0.224466891133556
1996-11-01,0.447928331466961
1996-12-01,0
1997-01-01,0.222965440356743
1997-02-01,0.22246941045606
1997-03-01,0.110987791342958
1997-04-01,0
1997-05-01,0.110864745011093
1997-06-01,0.221483942414173
1997-07-01,0
1997-08-01,0.110497237569053
1997-09-01,0
1997-10-01,0
1997-11-01,-0.110375275938182
1997-12-01,-0.110497237569067
1998-01-01,0.553097345132745
1998-02-01,0.110011001100116
1998-03-01,0.109890109890102
1998-04-01,-0.109769484083417
1998-05-01,0.329670329670334
1998-06-01,0.109529025191668
1998-07-01,0
1998-08-01,0
1998-09-01,-0.21881838074398
1998-10-01,0.438596491228052
1998-11-01,0
1998-12-01,-0.327510917030543
1999-01-01,0.219058050383349
1999-02-01,0.109289617486317
1999-03-01,0.436681222707448
1999-04-01,0.543478260869567
1999-05-01,0.216216216216214
1999-06-01,0.215749730312835
1999-07-01,0.215285252960156
1999-08-01,0.214822771213747
1999-09-01,0.321543408360132
1999-10-01,0.106837606837627
1999-11-01,-0.106723585912506
1999-12-01,0.106837606837627
2000-01-01,-0.213447171824985
2000-02-01,0.641711229946518
2000-03-01,0.743889479277364
2000-04-01,-0.316455696202522
2000-05-01,0.423280423280433
2000-06-01,0.6322444678609
2000-07-01,0.31413612565444
2000-08-01,-0.104384133611683
2000-09-01,0.417972831765931
2000-10-01,0.208116545265347
2000-11-01,0.311526479750782
2000-12-01,0.103519668737066
2001-01-01,-0.413650465356783
2001-02-01,0.519210799584633
2001-03-01,0.309917355371891
2001-04-01,0.720906282183329
2001-05-01,0.817995910020442
2001-06-01,0.101419878296165
2001-07-01,-0.303951367781159
2001-08-01,0
2001-09-01,0.20325203252031
2001-10-01,-0.507099391480732
2001-11-01,-0.917431192660535
2001-12-01,0.205761316872426
2002-01-01,0.205338809034892
2002-02-01,0.614754098360676
2002-03-01,0.712830957230142
2002-04-01,0.606673407482286
2002-05-01,0.201005025125639
2002-06-01,0.20060180541626
2002-07-01,0.600600600600595
2002-08-01,0.398009950248752
2002-09-01,0
2002-10-01,0.297324083250734
2002-11-01,0.296442687747052
2002-12-01,-0.39408866995076
2003-01-01,0.890207715133542
2003-02-01,0.784313725490201
2003-03-01,0.29182879377431
2003-04-01,-0.678952473326867
2003-05-01,0.0976562499999927
2003-06-01,0
2003-07-01,0.0975609756097741
2003-08-01,0.292397660818717
2003-09-01,0.194363459669568
2003-10-01,-0.290979631425791
2003-11-01,0.29182879377431
2003-12-01,0.096993210475272
2004-01-01,0.0968992248061944
2004-02-01,0.193610842207162
2004-03-01,0.386473429951712
2004-04-01,0.192492781520666
2004-05-01,0.864553314121048
2004-06-01,0.0952380952380882
2004-07-01,-0.0951474785918102
2004-08-01,-0.190476190476189
2004-09-01,0.190839694656487
2004-10-01,0.190476190476201
2004-11-01,0.380228136882126
2004-12-01,-0.189393939393938
2005-01-01,-0.0948766603415734
2005-02-01,0.379867046533722
2005-03-01,0.567644276253542
2005-04-01,0.282220131702744
2005-05-01,0.0938086303939893
2005-06-01,0.187441424554837
2005-07-01,0.187090739008405
2005-08-01,0.373482726423899
2005-09-01,0.837209302325591
2005-10-01,-0.461254612546115
2005-11-01,-0.185356811862858
2005-12-01,-0.0928505106777898
2006-01-01,0.557620817843861
2006-02-01,-0.184842883548982
2006-03-01,0.55555555555555
2006-04-01,0.55248618784531
2006-05-01,0.457875457875448
2006-06-01,-0.182315405651776
2006-07-01,0.0913242009132352
2006-08-01,0.182481751824828
2006-09-01,-0.546448087431689
2006-10-01,-0.183150183150181
2006-11-01,0.183486238532108
2006-12-01,0.183150183150181
2007-01-01,0
2007-02-01,0.731261425959785
2007-03-01,0.81669691470053
2007-04-01,0.45004500450044
2007-05-01,0.448028673835138
2007-06-01,-0.178412132024976
2007-07-01,0.0893655049151077
2007-08-01,-0.267857142857146
2007-09-01,0.179051029543418
2007-10-01,-0.268096514745323
2007-11-01,0.26881720430109
2007-12-01,0.0893655049151077
2008-01-01,-0.178571428571427
2008-02-01,0.357781753130587
2008-03-01,0.356506238859165
2008-04-01,0.799289520426297
2008-05-01,0.96916299559471
2008-06-01,0.698080279232127
2008-07-01,0.346620450606571
2008-08-01,-0.172711571675312
2008-09-01,0.0865051903114346
2008-10-01,-1.0371650821089
2008-11-01,-0.349344978165935
2008-12-01,-0.701139351446104
2009-01-01,-0.264783759929383
2009-02-01,0.707964601769893
2009-03-01,0.175746924428844
2009-04-01,-0.0877192982456302
2009-05-01,0.702370500438986
2009-06-01,0.348735832606797
2009-07-01,-0.34752389226759
2009-08-01,0
2009-09-01,0
2009-10-01,-0.0871839581517049
2009-11-01,0.523560209424101
2009-12-01,-0.347222222222241
2010-01-01,0.26132404181185
2010-02-01,0.434404865334482
2010-03-01,0
2010-04-01,0.346020761245683
2010-05-01,0.258620689655175
2010-06-01,-0.085984522785881
2010-07-01,0.516351118760741
2010-08-01,-0.085616438356158
2010-09-01,0.171379605826894
2010-10-01,0.427715996578284
2010-11-01,0.0851788756388352
2010-12-01,0
2011-01-01,0.255319148936173
2011-02-01,0.254668930390495
2011-03-01,1.10076206604573
2011-04-01,0.335008375209355
2011-05-01,0.667779632721217
2011-06-01,-0.663349917081275
2011-07-01,0.16694490818031
2011-08-01,0.250000000000003
2011-09-01,0.249376558603494
2011-10-01,0.165837479270303
2011-11-01,0.0827814569536576
2011-12-01,-0.578990901571546
2012-01-01,0.415973377703839
2012-02-01,0.414250207125094
2012-03-01,0.412541254125403
2012-04-01,0.410846343467534
2012-05-01,-0.0818330605564587
2012-06-01,-0.4095004095004
2012-07-01,-0.082236842105257
2012-08-01,0.246913580246895
2012-09-01,0.164203612479484
2012-10-01,0.163934426229496
2012-11-01,-0.245499181669376
2012-12-01,-0.574241181296144
2013-01-01,0.0825082508250764
2013-02-01,1.15416323165705
2013-03-01,0.162999185004084
2013-04-01,-0.162733930024419
2013-05-01,0.244498777506115
2013-06-01,0
2013-07-01,0.081300813008124
2013-08-01,0
2013-09-01,0.162469536961829
2013-10-01,-0.243309002433093
2013-11-01,0
2013-12-01,-0.243902439024393
2014-01-01,0.325998370008147
2014-02-01,0.812347684809101
2014-03-01,0.56406124093473
2014-04-01,0.320512820512817
2014-05-01,0.479233226837066
2014-06-01,0.0794912559618588
2014-07-01,-0.158856235107237
2014-08-01,0
2014-09-01,0.0795544948289519
2014-10-01,0.0794912559618588
2014-11-01,-0.397140587768081
2014-12-01,-0.717703349282284
2015-01-01,-0.160642570281133
2015-02-01,0.884955752212386
2015-03-01,0.717703349282284
2015-04-01,-0.0791765637371279
2015-05-01,0.554675118858974
2015-06-01,0.236406619385325
2015-07-01,0.078616352201252
2015-08-01,0.0
2015-09-01,-0.157109190887676
2015-10-01,0.0786782061369146
2015-11-01,-0.0786163522012724
2015-12-01,-0.472069236821386
2016-01-01,0.237154150197631
2016-02-01,0.236593059936891
2016-03-01,0.629425649095215
2016-04-01,0.312744331509009
2016-05-01,0.389711613406071
2016-06-01,0.232919254658368
2016-07-01,-0.154918667699446
2016-08-01,-0.155159038013973
2016-09-01,0.077700077700092
2016-10-01,0.232919254658368
2016-11-01,-0.387296669248636
2016-12-01,-0.155520995334359
2017-01-01,0.856697819314618
2017-02-01,0.154440154440163
2017-03-01,0.154202004626069
2017-04-01,0.384911470361808
2017-05-01,0.0766871165644115
2017-06-01,-0.0766283524904158
2017-07-01,0.0
2017-08-01,0.0766871165644115
2017-09-01,0.229885057471267
2017-10-01,0.0764525993883933
2017-11-01,0.305576776165008
2017-12-01,-0.380807311500392
2018-01-01,0.688073394495421
